Type,Percent,Iter,Method,var_x,var_y,corr_complete,corr_imputed
MAR,10,1,micePMM,X4794,X5226,0.293182992258981,0.3251573554159852
MAR,10,1,micePMM,X4828,X4954,0.0898312082395111,0.08484103029481739
MAR,10,1,micePMM,X4828,X5196,0.0867489979267865,0.0588682780175131
MAR,10,1,micePMM,X4828,X5220,-0.08470571522883175,-0.10712949665120823
MAR,10,1,micePMM,X4828,X5226,0.005257824127121005,-0.04016610880791843
MAR,10,1,micePMM,X4954,X5196,0.05668076556096307,0.015758730234666306
MAR,10,1,micePMM,X4954,X5220,0.01332638833778191,-0.014977810703054789
MAR,10,1,micePMM,X4954,X5226,0.009115046960387117,-0.02077697110881945
MAR,10,1,micePMM,X5196,X5220,0.010876706757180532,0.1328650351900173
MAR,10,1,micePMM,X5196,X5226,0.19674565372836075,0.21455254711559382
MAR,10,1,micePMM,X5220,X5226,0.22752331878378967,0.1771547219630383
MAR,10,1,miceRF,X4676,X4729,-0.13458643807329113,-0.10182849834457498
MAR,10,1,miceRF,X4676,X4745,0.28750101650468146,0.316469033204741
MAR,10,1,miceRF,X4676,X4776,-0.13607275948655725,-0.1412176289116372
MAR,10,1,miceRF,X4676,X4780,0.03227066473069483,0.029584746039701834
MAR,10,1,miceRF,X4676,X4794,0.28726106556196107,0.25810840023547127
MAR,10,1,miceRF,X4676,X4828,-0.05016493268689705,-0.04575379689532349
MAR,10,1,miceRF,X4676,X4954,-0.07620521767690396,-0.09304712890597705
MAR,10,1,miceRF,X4676,X5196,0.14065543365021957,0.11081839599954202
MAR,10,1,miceRF,X4676,X5220,0.1580721727478751,0.13001899258362892
MAR,10,1,miceRF,X4676,X5226,0.31866359788405507,0.33966974336211436
MAR,10,1,miceRF,X4729,X4745,0.1877755227700502,0.22775171606405437
